,SPY,DIA,QQQ,IWM,^FCHI,^GDAXI,^FTSE,^N225,^STOXX50E,^HSI,VNQ,SCHH,IYR,GLD,SLV,USO,UNG,DBA,PALL,CPER,BTC-USD,ETH-USD,TLT,IEF,SHY
2022-02-16,84863600.0,4496500.0,58947100.0,30104800.0,74789000.0,31633100.0,1128096000.0,64100000.0,31014500.0,1815200000.0,4333000.0,2749600.0,7205200.0,12772100.0,24804900.0,6978300.0,2791600.0,1655400.0,19200.0,49900.0,19792547657,12352406833,16473700.0,9007700.0,3335200.0
2022-02-17,102259100.0,4433500.0,61801400.0,27140200.0,90183200.0,78678300.0,776929900.0,67800000.0,32105300.0,1566200000.0,4847000.0,2938200.0,7504500.0,18612500.0,33941000.0,7116200.0,1427850.0,1512900.0,43800.0,34400.0,26246662813,15860206214,24508200.0,8749500.0,4442900.0
2022-02-18,132642900.0,6193700.0,80001500.0,36255400.0,87348900.0,87529800.0,768986400.0,63500000.0,32432200.0,1677800000.0,4809500.0,2847400.0,8281700.0,12760700.0,23016900.0,8438400.0,2567100.0,1414500.0,23800.0,80100.0,23310007704,15748173433,17522600.0,8486800.0,2459400.0
2022-02-21,128517350.0,7068200.0,82984300.0,34051250.0,0.0,78145800.0,622636900.0,52900000.0,29685200.0,1618300000.0,5733200.0,3404200.0,9567700.0,13860600.0,30676600.0,8873100.0,2314937.5,2199200.0,41950.0,86650.0,29280402798,18646392740,18528300.0,8439650.0,2973350.0
2022-02-22,124391800.0,7942700.0,85967100.0,31847100.0,101457400.0,115316300.0,1018787100.0,67300000.0,43502500.0,2057600000.0,6656900.0,3961000.0,10853700.0,14960500.0,38336300.0,9307800.0,2062775.0,2983900.0,60100.0,93200.0,25493150450,16360200507,19534000.0,8392500.0,3487300.0
2022-02-23,132578000.0,5732600.0,86215400.0,31491500.0,86393600.0,89094500.0,862648700.0,80400000.0,32529000.0,1416000000.0,6201000.0,4287200.0,10679800.0,11772200.0,35427200.0,8562400.0,2176850.0,2783200.0,126600.0,137300.0,21849073843,13382637240,17757800.0,7941800.0,4258700.0
2022-02-24,213942900.0,14167100.0,130614100.0,52221100.0,207949400.0,219860100.0,1966584700.0,93500000.0,88823100.0,2997700000.0,9479200.0,6160600.0,15484100.0,32726000.0,85973300.0,18256700.0,3283125.0,6757900.0,281300.0,164700.0,46383802093,29312342666,28150400.0,19162100.0,4573600.0
2022-02-25,121804500.0,9496300.0,78842100.0,33656200.0,152427400.0,160377100.0,1381725400.0,77600000.0,66184900.0,2524300000.0,5870300.0,3234400.0,9811200.0,11530900.0,37032300.0,8803300.0,1839100.0,3970800.0,72800.0,90300.0,26545599159,17208902048,15025400.0,8101900.0,4279100.0
2022-02-28,145615000.0,8217300.0,77515500.0,34975900.0,171929700.0,160848700.0,1584580200.0,91100000.0,77052100.0,2833800000.0,7296900.0,4532400.0,13154700.0,16055800.0,42783700.0,8886500.0,1573850.0,4196400.0,89400.0,100300.0,35690014104,19266124733,25817700.0,12291800.0,5265300.0
2022-03-01,137785900.0,8532900.0,67407000.0,40638900.0,171611200.0,145245900.0,1349616800.0,74000000.0,71926900.0,1796000000.0,8896200.0,4444600.0,11661600.0,21942100.0,60537600.0,16803600.0,1822300.0,5063200.0,115100.0,153800.0,32479047645,18757425786,35664400.0,28285600.0,7383600.0
2022-03-02,117726500.0,6836200.0,70609000.0,29978600.0,169994900.0,158825300.0,1325548600.0,87700000.0,67451800.0,2227900000.0,6946100.0,2889600.0,10335700.0,19727200.0,56523200.0,21956100.0,2411200.0,5534800.0,132600.0,152700.0,29183112630,16636517503,30397400.0,12303800.0,5250800.0
2022-03-03,105501700.0,7790700.0,71089400.0,30142700.0,132457000.0,118913500.0,1226956300.0,74800000.0,50887800.0,1937700000.0,6517000.0,2606600.0,7639500.0,15164400.0,44272400.0,18443800.0,2248050.0,10096800.0,138100.0,278500.0,24967782593,13091199728,20649100.0,12247400.0,6877400.0
2022-03-04,113978200.0,6025000.0,76936300.0,31610400.0,180586100.0,178566000.0,1560387400.0,93500000.0,74416700.0,2438200000.0,6438500.0,2982200.0,9952700.0,22390100.0,61566100.0,17341900.0,2421250.0,11291500.0,245000.0,382700.0,28516271427,14496939024,25853100.0,20102300.0,2880500.0
2022-03-07,137896600.0,6590800.0,89933800.0,39279800.0,243010200.0,192412700.0,2177431900.0,105400000.0,82263800.0,3322900000.0,6506200.0,3147600.0,10114100.0,27951800.0,51534300.0,16563300.0,2091600.0,8382600.0,320900.0,443500.0,28546143503,14594098731,23710900.0,13633200.0,6302700.0
2022-03-08,164772700.0,8209800.0,116153900.0,45715800.0,168209400.0,172923800.0,1443985900.0,114700000.0,71843700.0,3232000000.0,7090600.0,4411800.0,9401700.0,47347700.0,114432100.0,29882700.0,2881175.0,7919100.0,372100.0,277700.0,25776583476,13922922903,28331300.0,10819400.0,5585700.0
2022-03-09,116990800.0,4669200.0,64723400.0,29048000.0,189777300.0,177828900.0,1239463500.0,91500000.0,75625000.0,3674600000.0,5785900.0,2746000.0,9432400.0,26839700.0,58012900.0,29934600.0,2070325.0,5167100.0,210600.0,207200.0,32284121034,14173665398,18819200.0,7932300.0,4988900.0
